Timestamp,ACK Flag Count,SYN Flag Count,Fwd Packets/s,Avg Fwd Segment Size,Avg Bwd Segment Size,Average Packet Size,Min Packet Length,Max Packet Length,ACK Flag Count_Moving_Avg,ACK Flag Count_Rolling_Var,SYN Flag Count_Moving_Avg,SYN Flag Count_Rolling_Var,Fwd Packets/s_Moving_Avg,Fwd Packets/s_Rolling_Var,Avg Fwd Segment Size_Moving_Avg,Avg Fwd Segment Size_Rolling_Var,Avg Bwd Segment Size_Moving_Avg,Avg Bwd Segment Size_Rolling_Var,Average Packet Size_Moving_Avg,Average Packet Size_Rolling_Var,Min Packet Length_Moving_Avg,Min Packet Length_Rolling_Var,Max Packet Length_Moving_Avg,Max Packet Length_Rolling_Var,Z_Score,Anomaly
2024-12-16 15:43:57.812199,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.5,0.2777777777777778,0.0,0.0,0.0,0.0,0.12875,0.09623217472029322,0.12875,0.09623217472029322,0.12885416666666666,0.09620241970486111,0.1766251728907331,0.10140990838465054,0.09999999999999999,0.09999999999999998,3.8914646296829547,1
2024-12-16 15:43:57.813184,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.6,0.26666666666666666,0.0,0.0,0.0,0.0,0.16684895833333332,0.0980464989932967,0.16684895833333332,0.0980464989932967,0.166953125,0.09800792477454667,0.2778008298755187,0.15136641335929107,0.09999999999999999,0.09999999999999998,2.1097531474362774,1
2024-12-16 15:43:57.813184,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.6,0.26666666666666666,0.0,0.0,0.0,0.0,0.20070312499999998,0.0969552506811825,0.20070312499999998,0.0969552506811825,0.20075520833333335,0.0969320482795621,0.3675656984785616,0.17680462109004427,0.09999999999999999,0.09999999999999998,2.249288177775578,1
2024-12-16 15:43:57.813184,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.7,0.23333333333333334,0.0,0.0,0.0,0.0,0.23354166666666668,0.09383387888213736,0.23354166666666668,0.09383387888213736,0.23359375,0.09380687572337962,0.4547717842323652,0.18684933620799044,0.09999999999999999,0.09999999999999998,2.414716194139048,1
2024-12-16 15:43:57.813184,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.7,0.23333333333333334,0.0,0.0,0.0,0.0,0.26739583333333333,0.08772523931809413,0.26739583333333333,0.08772523931809413,0.2673958333333334,0.08772523931809412,0.5445366528354081,0.17698582290674933,0.09999999999999999,0.09999999999999998,2.5213426240136876,1
2024-12-16 15:43:57.813184,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.8,0.1777777777777778,0.0,0.0,0.0,0.0,0.298671875,0.08071437430676118,0.298671875,0.08071437430676118,0.29867187500000003,0.08071437430676116,0.6275933609958507,0.1581011756463567,0.09999999999999999,0.09999999999999998,2.639931177265756,1
2024-12-16 15:43:57.813184,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.9,0.10000000000000003,0.0,0.0,0.0,0.0,0.3211458333333333,0.07653237123842592,0.3211458333333333,0.07653237123842592,0.32114583333333335,0.07653237123842589,0.6872752420470263,0.1505664184182115,0.09999999999999999,0.09999999999999998,2.7244184201361588,1
2024-12-16 15:43:57.813184,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.9,0.10000000000000003,0.0,0.0,0.0,0.0,0.355,0.06383314043209876,0.355,0.06383314043209876,0.35500000000000004,0.06383314043209871,0.7771784232365145,0.09408505915854833,0.09999999999999999,0.09999999999999998,2.7877529458940273,1
2024-12-16 15:43:57.814183,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.9,0.10000000000000003,0.0,0.0,0.0,0.0,0.28885416666666663,0.0127768253279321,0.28885416666666663,0.0127768253279321,0.2888541666666667,0.012776825327932076,0.7670816044260028,0.09010498535357482,0.0,0.0,2.417967289011542,1
2024-12-16 15:43:57.814183,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30468749999999994,0.011461046006944442,0.30468749999999994,0.011461046006944442,0.3046875,0.011461046006944416,0.8091286307053942,0.0808258198798994,0.0,0.0,2.467857806869812,1
2024-12-16 15:45:00.951062,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.6,0.2666666666666666,0.0,0.0,0.0,0.0,0.20817708333333335,0.0283749457465278,0.20817708333333335,0.0283749457465278,0.20817708333333335,0.028374945746527783,0.55283540802213,0.20010636486592467,0.0,0.0,2.135037277178363,1
2024-12-16 15:45:00.951062,1.0,0.0,0.0,0.33854166666666663,0.33854166666666663,0.3385416666666667,0.8990318118948825,0.0,0.7,0.23333333333333328,0.0,0.0,0.0,0.0,0.24203125,0.02417452136381174,0.24203125,0.02417452136381174,0.24203125,0.024174521363811718,0.6427385892116183,0.17048404728942818,0.0,0.0,2.276176243503586,1
